U+20AC	0x80	€	â‚¬	%E2 %82 %AC	 	U+00C0	0xC0	À	Ã€	%C3 %80
0x81				 	U+00C1	0xC1	Á	Ã	%C3 %81
U+201A	0x82	‚	â€š	%E2 %80 %9A	 	U+00C2	0xC2	Â	Ã‚	%C3 %82
U+0192	0x83	ƒ	Æ’	%C6 %92	 	U+00C3	0xC3	Ã	Ãƒ	%C3 %83
U+201E	0x84	„	â€ž	%E2 %80 %9E	 	U+00C4	0xC4	Ä	Ã„	%C3 %84
U+2026	0x85	…	â€¦	%E2 %80 %A6	 	U+00C5	0xC5	Å	Ã…	%C3 %85
U+2020	0x86	†	â€	%E2 %80 %A0	 	U+00C6	0xC6	Æ	Ã†	%C3 %86
U+2021	0x87	‡	â€¡	%E2 %80 %A1	 	U+00C7	0xC7	Ç	Ã‡	%C3 %87
U+02C6	0x88	ˆ	Ë†	%CB %86	 	U+00C8	0xC8	È	Ãˆ	%C3 %88
U+2030	0x89	‰	â€°	%E2 %80 %B0	 	U+00C9	0xC9	É	Ã‰	%C3 %89
U+0160	0x8A	Š	Å	%C5 %A0	 	U+00CA	0xCA	Ê	ÃŠ	%C3 %8A
U+2039	0x8B	‹	â€¹	%E2 %80 %B9	 	U+00CB	0xCB	Ë	Ã‹	%C3 %8B
U+0152	0x8C	Œ	Å’	%C5 %92	 	U+00CC	0xCC	Ì	ÃŒ	%C3 %8C
0x8D				 	U+00CD	0xCD	Í	Ã	%C3 %8D
U+017D	0x8E	Ž	Å½	%C5 %BD	 	U+00CE	0xCE	Î	ÃŽ	%C3 %8E
0x8F				 	U+00CF	0xCF	Ï	Ã	%C3 %8F
0x90				 	U+00D0	0xD0	Ð	Ã	%C3 %90
U+2018	0x91	‘	â€˜	%E2 %80 %98	 	U+00D1	0xD1	Ñ	Ã‘	%C3 %91
U+2019	0x92	’	â€™	%E2 %80 %99	 	U+00D2	0xD2	Ò	Ã’	%C3 %92
U+201C	0x93	“	â€œ	%E2 %80 %9C	 	U+00D3	0xD3	Ó	Ã“	%C3 %93
U+201D	0x94	”	â€	%E2 %80 %9D	 	U+00D4	0xD4	Ô	Ã”	%C3 %94
U+2022	0x95	•	â€¢	%E2 %80 %A2	 	U+00D5	0xD5	Õ	Ã•	%C3 %95
U+2013	0x96	–	â€“	%E2 %80 %93	 	U+00D6	0xD6	Ö	Ã–	%C3 %96
U+2014	0x97	—	â€”	%E2 %80 %94	 	U+00D7	0xD7	×	Ã—	%C3 %97
U+02DC	0x98	˜	Ëœ	%CB %9C	 	U+00D8	0xD8	Ø	Ã˜	%C3 %98
U+2122	0x99	™	â„¢	%E2 %84 %A2	 	U+00D9	0xD9	Ù	Ã™	%C3 %99
U+0161	0x9A	š	Å¡	%C5 %A1	 	U+00DA	0xDA	Ú	Ãš	%C3 %9A
U+203A	0x9B	›	â€º	%E2 %80 %BA	 	U+00DB	0xDB	Û	Ã›	%C3 %9B
U+0153	0x9C	œ	Å“	%C5 %93	 	U+00DC	0xDC	Ü	Ãœ	%C3 %9C
0x9D				 	U+00DD	0xDD	Ý	Ã	%C3 %9D
U+017E	0x9E	ž	Å¾	%C5 %BE	 	U+00DE	0xDE	Þ	Ãž	%C3 %9E
U+0178	0x9F	Ÿ	Å¸	%C5 %B8	 	U+00DF	0xDF	ß	ÃŸ	%C3 %9F
